x,y,vx,vy,t
0,0.413,81.317,81.317,0
0.081,0.494,81.299,81.289,0.001
0.163,0.575,81.28,81.261,0.002
0.244,0.657,81.262,81.233,0.003
0.325,0.738,81.243,81.204,0.004
0.406,0.819,81.225,81.176,0.005
0.488,0.9,81.207,81.148,0.006
0.569,0.981,81.189,81.12,0.007
0.65,1.063,81.17,81.092,0.008
0.731,1.144,81.152,81.064,0.009
0.812,1.225,81.134,81.036,0.01
0.893,1.306,81.116,81.008,0.011
0.975,1.387,81.097,80.98,0.012
1.056,1.468,81.079,80.951,0.013
1.137,1.549,81.061,80.923,0.014
1.218,1.63,81.043,80.895,0.015
1.299,1.711,81.024,80.867,0.016
1.38,1.791,81.006,80.839,0.017
1.461,1.872,80.988,80.811,0.018
1.542,1.953,80.97,80.783,0.019
1.623,2.034,80.952,80.755,0.02
1.704,2.115,80.933,80.727,0.021
1.785,2.195,80.915,80.699,0.022
1.866,2.276,80.897,80.671,0.023
1.947,2.357,80.879,80.644,0.024
2.027,2.437,80.861,80.616,0.025
2.108,2.518,80.843,80.588,0.026
2.189,2.599,80.825,80.56,0.027
2.27,2.679,80.806,80.532,0.028
2.351,2.76,80.788,80.504,0.029
2.432,2.84,80.77,80.476,0.03
2.512,2.921,80.752,80.448,0.031
2.593,3.001,80.734,80.42,0.032
2.674,3.081,80.716,80.393,0.033
2.755,3.162,80.697,80.365,0.034
2.835,3.242,80.679,80.337,0.035
2.916,3.323,80.661,80.309,0.036
2.997,3.403,80.643,80.281,0.037
3.077,3.483,80.625,80.253,0.038
3.158,3.563,80.607,80.226,0.039
3.238,3.644,80.589,80.198,0.04
3.319,3.724,80.571,80.17,0.041
3.4,3.804,80.552,80.142,0.042
3.48,3.884,80.534,80.114,0.043
3.561,3.964,80.517,80.087,0.044
3.641,4.044,80.499,80.059,0.045
3.722,4.124,80.481,80.031,0.046
3.802,4.204,80.463,80.004,0.047
3.883,4.284,80.445,79.976,0.048
3.963,4.364,80.427,79.948,0.049
4.044,4.444,80.409,79.921,0.05
4.124,4.524,80.391,79.893,0.051
4.204,4.604,80.373,79.865,0.052
4.285,4.684,80.355,79.838,0.053
4.365,4.764,80.338,79.81,0.054
4.445,4.844,80.32,79.783,0.055
4.526,4.923,80.302,79.755,0.056
4.606,5.003,80.284,79.728,0.057
4.686,5.083,80.266,79.7,0.058
4.767,5.163,80.248,79.672,0.059
4.847,5.242,80.23,79.645,0.06
4.927,5.322,80.212,79.617,0.061
5.007,5.402,80.194,79.59,0.062
5.087,5.481,80.177,79.562,0.063
5.168,5.561,80.159,79.535,0.064
5.248,5.64,80.141,79.507,0.065
5.328,5.72,80.123,79.48,0.066
5.408,5.799,80.105,79.452,0.067
5.488,5.879,80.087,79.425,0.068
5.568,5.958,80.07,79.397,0.069
5.648,6.038,80.052,79.37,0.07
5.728,6.117,80.034,79.343,0.071
5.808,6.196,80.016,79.315,0.072
5.888,6.276,79.998,79.288,0.073
5.968,6.355,79.981,79.26,0.074
6.048,6.434,79.963,79.233,0.075
6.128,6.513,79.945,79.206,0.076
6.208,6.593,79.927,79.178,0.077
6.288,6.672,79.91,79.151,0.078
6.368,6.751,79.892,79.124,0.079
6.448,6.83,79.874,79.096,0.08
6.528,6.909,79.857,79.069,0.081
6.608,6.988,79.839,79.042,0.082
6.688,7.067,79.821,79.014,0.083
6.767,7.146,79.804,78.987,0.084
6.847,7.225,79.786,78.96,0.085
6.927,7.304,79.768,78.933,0.086
7.007,7.383,79.751,78.905,0.087
7.087,7.462,79.734,78.878,0.088
7.166,7.541,79.716,78.851,0.089
7.246,7.62,79.699,78.824,0.09
7.326,7.699,79.681,78.797,0.091
7.405,7.777,79.663,78.769,0.092
7.485,7.856,79.646,78.742,0.093
7.565,7.935,79.628,78.715,0.094
7.644,8.014,79.61,78.688,0.095
7.724,8.092,79.592,78.66,0.096
7.803,8.171,79.575,78.633,0.097
7.883,8.25,79.557,78.606,0.098
7.963,8.328,79.54,78.579,0.099
8.042,8.407,79.522,78.552,0.1
8.122,8.485,79.505,78.525,0.101
8.201,8.564,79.487,78.498,0.102
8.281,8.642,79.47,78.471,0.103
8.36,8.721,79.453,78.444,0.104
8.44,8.799,79.435,78.417,0.105
8.519,8.878,79.418,78.39,0.106
8.598,8.956,79.4,78.363,0.107
8.678,9.034,79.383,78.336,0.108
8.757,9.113,79.365,78.309,0.109
8.837,9.191,79.348,78.282,0.11
8.916,9.269,79.33,78.255,0.111
8.995,9.348,79.313,78.228,0.112
9.075,9.426,79.296,78.201,0.113
9.154,9.504,79.278,78.174,0.114
9.233,9.582,79.261,78.147,0.115
9.312,9.66,79.243,78.12,0.116
9.392,9.738,79.226,78.093,0.117
9.471,9.817,79.209,78.066,0.118
9.55,9.895,79.191,78.039,0.119
9.629,9.973,79.174,78.012,0.12
9.708,10.051,79.156,77.985,0.121
9.788,10.129,79.139,77.958,0.122
9.867,10.207,79.122,77.932,0.123
9.946,10.285,79.105,77.905,0.124
10.025,10.362,79.087,77.878,0.125
10.104,10.44,79.308,78.085,0.126
10.183,10.518,79.528,78.292,0.127
10.263,10.597,79.748,78.499,0.128
10.343,10.675,79.968,78.705,0.129
10.423,10.754,80.188,78.912,0.13
10.503,10.833,80.408,79.119,0.131
10.583,10.912,80.627,79.325,0.132
10.664,10.991,80.847,79.531,0.133
10.745,11.071,81.067,79.738,0.134
10.826,11.151,81.286,79.944,0.135
10.907,11.23,81.506,80.15,0.136
10.989,11.311,81.725,80.356,0.137
11.07,11.391,81.944,80.561,0.138
11.152,11.472,82.163,80.767,0.139
11.234,11.552,82.382,80.972,0.14
11.317,11.633,82.601,81.178,0.141
11.399,11.714,82.82,81.383,0.142
11.482,11.796,83.039,81.588,0.143
11.565,11.877,83.258,81.794,0.144
11.648,11.959,83.477,81.999,0.145
11.732,12.041,83.695,82.203,0.146
11.816,12.123,83.914,82.408,0.147
11.9,12.206,84.132,82.613,0.148
11.984,12.288,84.35,82.817,0.149
12.068,12.371,84.569,83.022,0.15
12.153,12.454,84.787,83.226,0.151
12.237,12.538,85.005,83.43,0.152
12.322,12.621,85.222,83.634,0.153
12.408,12.705,85.44,83.839,0.154
12.493,12.788,85.658,84.043,0.155
12.579,12.872,85.876,84.246,0.156
12.665,12.957,86.094,84.45,0.157
12.751,13.041,86.311,84.654,0.158
12.837,13.126,86.528,84.857,0.159
12.924,13.211,86.746,85.06,0.16
13.01,13.296,86.963,85.263,0.161
13.097,13.381,87.18,85.466,0.162
13.184,13.466,87.397,85.67,0.163
13.272,13.552,87.614,85.872,0.164
13.359,13.638,87.831,86.075,0.165
13.447,13.724,88.047,86.278,0.166
13.535,13.81,88.264,86.48,0.167
13.624,13.897,88.481,86.683,0.168
13.712,13.984,88.697,86.885,0.169
13.801,14.07,88.914,87.087,0.17
13.89,14.158,89.13,87.289,0.171
13.979,14.245,89.346,87.491,0.172
14.068,14.332,89.562,87.693,0.173
14.158,14.42,89.779,87.895,0.174
14.248,14.508,89.995,88.097,0.175
14.337,14.596,90.211,88.298,0.176
14.428,14.684,90.427,88.5,0.177
14.518,14.773,90.643,88.701,0.178
14.609,14.861,90.859,88.902,0.179
14.7,14.95,91.074,89.103,0.18
14.791,15.039,91.289,89.304,0.181
14.882,15.129,91.505,89.505,0.182
14.974,15.218,91.72,89.706,0.183
15.065,15.308,91.935,89.906,0.184
15.157,15.398,92.15,90.107,0.185
15.249,15.488,92.365,90.307,0.186
15.342,15.578,92.579,90.507,0.187
15.434,15.669,92.794,90.708,0.188
15.527,15.76,93.009,90.908,0.189
15.62,15.85,93.223,91.108,0.19
15.713,15.942,93.437,91.307,0.191
15.807,16.033,93.652,91.507,0.192
15.9,16.124,93.866,91.707,0.193
15.994,16.216,94.08,91.906,0.194
16.088,16.308,94.294,92.105,0.195
16.183,16.4,94.508,92.304,0.196
16.277,16.492,94.722,92.503,0.197
16.372,16.585,94.936,92.702,0.198
16.467,16.678,95.15,92.901,0.199
16.562,16.77,95.363,93.1,0.2
16.657,16.864,95.577,93.299,0.201
16.753,16.957,95.79,93.497,0.202
16.849,17.05,96.004,93.696,0.203
16.945,17.144,96.217,93.894,0.204
17.041,17.238,96.43,94.092,0.205
17.137,17.332,96.643,94.29,0.206
17.234,17.426,96.856,94.488,0.207
17.331,17.521,97.069,94.686,0.208
17.428,17.616,97.282,94.884,0.209
17.525,17.71,97.495,95.081,0.21
17.623,17.805,97.707,95.279,0.211
17.72,17.901,97.92,95.476,0.212
17.818,17.996,98.132,95.673,0.213
17.916,18.092,98.345,95.87,0.214
18.015,18.188,98.556,96.067,0.215
18.113,18.284,98.768,96.264,0.216
18.212,18.38,98.98,96.461,0.217
18.311,18.477,99.192,96.657,0.218
18.41,18.573,99.404,96.854,0.219
18.51,18.67,99.615,97.05,0.22
18.609,18.767,99.827,97.247,0.221
18.709,18.864,100.038,97.443,0.222
18.809,18.962,100.249,97.639,0.223
18.909,19.059,100.461,97.834,0.224
19.01,19.157,100.672,98.03,0.225
19.111,19.255,100.883,98.226,0.226
19.211,19.354,101.094,98.421,0.227
19.312,19.452,101.304,98.617,0.228
19.414,19.551,101.515,98.812,0.229
19.515,19.649,101.725,99.007,0.23
19.617,19.748,101.936,99.202,0.231
19.719,19.848,102.146,99.397,0.232
19.821,19.947,102.356,99.592,0.233
19.923,20.047,102.567,99.786,0.234
20.026,20.146,102.776,99.981,0.235
20.129,20.246,102.986,100.175,0.236
20.232,20.347,103.196,100.369,0.237
20.335,20.447,103.406,100.564,0.238
20.438,20.547,103.615,100.758,0.239
20.542,20.648,103.824,100.951,0.24
20.646,20.749,104.034,101.145,0.241
20.75,20.85,104.243,101.339,0.242
20.854,20.952,104.452,101.532,0.243
20.959,21.053,104.661,101.726,0.244
21.063,21.155,104.87,101.919,0.245
21.168,21.257,105.079,102.112,0.246
21.273,21.359,105.287,102.305,0.247
21.378,21.461,105.496,102.498,0.248
21.484,21.564,105.704,102.691,0.249
21.59,21.666,105.913,102.883,0.25
21.696,21.769,106.121,103.076,0.251
21.802,21.872,106.329,103.268,0.252
21.908,21.976,106.537,103.461,0.253
22.015,22.079,106.745,103.653,0.254
22.121,22.183,106.953,103.845,0.255
22.228,22.287,107.161,104.037,0.256
22.335,22.391,107.368,104.229,0.257
22.443,22.495,107.576,104.42,0.258
22.55,22.599,107.783,104.612,0.259
22.658,22.704,107.99,104.803,0.26
22.766,22.809,108.197,104.994,0.261
22.874,22.914,108.405,105.186,0.262
22.983,23.019,108.611,105.376,0.263
23.091,23.124,108.818,105.567,0.264
23.2,23.23,109.025,105.758,0.265
23.309,23.336,109.232,105.949,0.266
23.418,23.442,109.438,106.139,0.267
23.528,23.548,109.645,106.33,0.268
23.638,23.654,109.851,106.52,0.269
23.747,23.761,110.057,106.71,0.27
23.857,23.867,110.264,106.9,0.271
23.968,23.974,110.47,107.09,0.272
24.078,24.081,110.676,107.28,0.273
24.189,24.189,110.881,107.47,0.274
24.3,24.296,111.087,107.659,0.275
24.411,24.404,111.292,107.848,0.276
24.522,24.512,111.498,108.038,0.277
24.634,24.62,111.703,108.227,0.278
24.745,24.728,111.909,108.416,0.279
24.857,24.836,112.114,108.605,0.28
24.969,24.945,112.319,108.794,0.281
25.082,25.054,112.523,108.982,0.282
25.194,25.163,112.728,109.171,0.283
25.307,25.272,112.932,109.359,0.284
25.42,25.381,113.137,109.547,0.285
25.533,25.491,113.341,109.735,0.286
25.646,25.6,113.545,109.923,0.287
25.76,25.71,113.749,110.111,0.288
25.874,25.82,113.953,110.299,0.289
25.988,25.931,114.157,110.486,0.29
26.102,26.041,114.361,110.674,0.291
26.216,26.152,114.565,110.861,0.292
26.331,26.263,114.769,111.048,0.293
26.445,26.374,114.972,111.235,0.294
26.56,26.485,115.175,111.422,0.295
26.676,26.596,115.379,111.609,0.296
26.791,26.708,115.582,111.796,0.297
26.907,26.82,115.785,111.982,0.298
27.022,26.932,115.988,112.169,0.299
27.138,27.044,116.19,112.355,0.3
27.254,27.156,116.393,112.541,0.301
27.371,27.269,116.595,112.727,0.302
27.487,27.382,116.798,112.913,0.303
27.604,27.495,117,113.099,0.304
27.721,27.608,117.202,113.284,0.305
27.838,27.721,117.404,113.47,0.306
27.956,27.834,117.606,113.655,0.307
28.073,27.948,117.808,113.84,0.308
