x,y,vx,vy,t
0,0.413,70.711,70.711,0
0.071,0.484,70.697,70.687,0.001
0.777,1.189,70.558,70.45,0.002
1.482,1.893,70.42,70.214,0.003
2.185,2.594,70.282,69.979,0.004
2.888,3.292,70.145,69.745,0.005
3.588,3.988,70.009,69.511,0.006
4.288,4.682,69.873,69.279,0.007
4.986,5.374,69.738,69.047,0.008
5.682,6.063,69.604,68.816,0.009
6.378,6.75,69.47,68.585,0.01
7.072,7.435,69.337,68.356,0.011
7.765,8.117,69.204,68.127,0.012
8.456,8.798,69.072,67.899,0.013
9.146,9.475,68.941,67.672,0.014
9.835,10.151,68.81,67.446,0.015
10.522,10.824,68.68,67.22,0.016
11.208,11.495,68.55,66.995,0.017
11.893,12.164,68.421,66.771,0.018
12.577,12.831,68.293,66.548,0.019
13.259,13.495,68.165,66.325,0.02
13.94,14.157,68.037,66.103,0.021
14.62,14.817,67.91,65.882,0.022
15.298,15.475,67.784,65.662,0.023
15.976,16.131,67.659,65.442,0.024
16.651,16.784,67.533,65.223,0.025
17.326,17.435,67.409,65.005,0.026
18,18.084,67.285,64.787,0.027
18.672,18.731,67.161,64.57,0.028
19.343,19.375,67.039,64.354,0.029
20.013,20.018,66.916,64.139,0.03
20.681,20.658,66.794,63.924,0.031
21.349,21.296,66.673,63.71,0.032
22.015,21.932,66.552,63.496,0.033
22.68,22.566,66.432,63.284,0.034
23.343,23.198,66.312,63.072,0.035
24.006,23.828,66.193,62.86,0.036
24.667,24.455,66.074,62.65,0.037
25.327,25.081,65.956,62.44,0.038
25.986,25.704,65.838,62.23,0.039
26.644,26.325,65.721,62.022,0.04
27.301,26.944,65.605,61.813,0.041
27.956,27.562,65.488,61.606,0.042
28.61,28.177,65.373,61.399,0.043
29.264,28.79,65.258,61.193,0.044
29.916,29.4,65.143,60.988,0.045
30.566,30.009,65.029,60.783,0.046
31.216,30.616,64.915,60.578,0.047
31.865,31.221,64.802,60.375,0.048
32.512,31.824,64.689,60.172,0.049
33.159,32.424,64.577,59.969,0.05
33.804,33.023,64.465,59.767,0.051
34.448,33.62,64.354,59.566,0.052
35.091,34.214,64.243,59.366,0.053
35.733,34.807,64.132,59.166,0.054
36.373,35.398,64.022,58.966,0.055
37.013,35.986,63.913,58.767,0.056
37.652,36.573,63.804,58.569,0.057
38.289,37.158,63.695,58.372,0.058
38.926,37.74,63.587,58.174,0.059
39.561,38.321,63.479,57.978,0.06
40.195,38.9,63.372,57.782,0.061
40.828,39.477,63.265,57.587,0.062
41.461,40.052,63.159,57.392,0.063
42.092,40.625,63.053,57.198,0.064
42.722,41.196,62.948,57.004,0.065
43.351,41.765,62.843,56.811,0.066
43.978,42.332,62.738,56.618,0.067
44.605,42.897,62.634,56.426,0.068
45.231,43.46,62.53,56.235,0.069
45.856,44.022,62.427,56.044,0.07
46.48,44.581,62.324,55.854,0.071
47.102,45.139,62.222,55.664,0.072
47.724,45.695,62.119,55.475,0.073
48.345,46.248,62.018,55.286,0.074
48.964,46.8,61.917,55.098,0.075
49.583,47.35,61.816,54.91,0.076
50.201,47.898,61.715,54.723,0.077
50.817,48.445,61.615,54.536,0.078
51.433,48.989,61.516,54.35,0.079
52.048,49.532,61.417,54.164,0.08
52.661,50.072,61.318,53.979,0.081
53.274,50.611,61.219,53.795,0.082
53.886,51.148,61.121,53.61,0.083
54.497,51.684,61.024,53.427,0.084
55.106,52.217,60.926,53.244,0.085
55.715,52.748,60.83,53.061,0.086
56.323,53.278,60.733,52.879,0.087
56.93,53.806,60.637,52.697,0.088
57.536,54.332,60.541,52.516,0.089
58.141,54.856,60.446,52.335,0.09
58.745,55.379,60.351,52.155,0.091
59.348,55.899,60.256,51.975,0.092
59.95,56.418,60.162,51.796,0.093
60.551,56.935,60.068,51.617,0.094
61.151,57.451,59.975,51.439,0.095
61.75,57.964,59.882,51.261,0.096
62.349,58.476,59.789,51.084,0.097
62.946,58.986,59.697,50.907,0.098
63.543,59.494,59.605,50.73,0.099
64.138,60,59.513,50.554,0.1
64.733,60.505,59.422,50.379,0.101
65.327,61.008,59.331,50.204,0.102
65.92,61.509,59.24,50.029,0.103
66.511,62.009,59.15,49.855,0.104
67.102,62.506,59.06,49.681,0.105
67.693,63.002,58.97,49.508,0.106
68.282,63.496,58.881,49.335,0.107
68.87,63.989,58.792,49.162,0.108
69.458,64.48,58.704,48.99,0.109
70.044,64.969,58.615,48.819,0.11
70.63,65.456,58.528,48.648,0.111
71.215,65.942,58.44,48.477,0.112
71.799,66.426,58.353,48.307,0.113
72.382,66.908,58.266,48.137,0.114
72.964,67.388,58.179,47.967,0.115
