x,y,vx,vy,t
0,0.413,81.317,81.317,0
0.081,0.494,81.299,81.289,0.001
0.163,0.575,81.28,81.261,0.002
0.244,0.657,81.262,81.233,0.003
0.325,0.738,81.244,81.205,0.004
0.406,0.819,81.226,81.176,0.005
0.488,0.9,81.207,81.148,0.006
0.569,0.981,81.189,81.12,0.007
0.65,1.062,81.17,81.092,0.008
0.731,1.144,81.152,81.064,0.009
0.812,1.225,81.134,81.036,0.01
0.893,1.306,81.115,81.008,0.011
0.974,1.387,81.097,80.98,0.012
1.056,1.468,81.079,80.951,0.013
1.137,1.549,81.06,80.923,0.014
1.218,1.629,81.042,80.895,0.015
1.299,1.71,81.024,80.867,0.016
1.38,1.791,81.006,80.839,0.017
1.461,1.872,80.987,80.811,0.018
1.542,1.953,80.969,80.783,0.019
1.623,2.034,80.951,80.755,0.02
1.704,2.114,80.933,80.727,0.021
1.785,2.195,80.914,80.699,0.022
1.865,2.276,80.896,80.671,0.023
1.946,2.356,80.878,80.643,0.024
2.027,2.437,80.86,80.615,0.025
2.108,2.518,80.842,80.588,0.026
2.189,2.598,80.824,80.56,0.027
2.27,2.679,80.805,80.532,0.028
2.35,2.759,80.787,80.504,0.029
2.431,2.84,80.769,80.476,0.03
2.512,2.92,80.751,80.448,0.031
2.593,3.001,80.733,80.42,0.032
2.674,3.081,80.715,80.392,0.033
2.754,3.161,80.697,80.365,0.034
2.835,3.242,80.679,80.337,0.035
2.916,3.322,80.661,80.309,0.036
2.996,3.402,80.643,80.281,0.037
3.077,3.483,80.624,80.253,0.038
3.157,3.563,80.607,80.226,0.039
3.238,3.643,80.588,80.198,0.04
3.319,3.723,80.57,80.17,0.041
3.399,3.803,80.552,80.142,0.042
3.48,3.884,80.534,80.115,0.043
3.56,3.964,80.516,80.087,0.044
3.641,4.044,80.498,80.059,0.045
3.721,4.124,80.48,80.031,0.046
3.802,4.204,80.462,80.004,0.047
3.882,4.284,80.444,79.976,0.048
3.963,4.364,80.426,79.948,0.049
4.043,4.444,80.408,79.921,0.05
4.123,4.524,80.39,79.893,0.051
4.204,4.603,80.373,79.866,0.052
4.284,4.683,80.355,79.838,0.053
4.365,4.763,80.337,79.81,0.054
4.445,4.843,80.319,79.783,0.055
4.525,4.923,80.301,79.755,0.056
4.605,5.002,80.283,79.728,0.057
4.686,5.082,80.265,79.7,0.058
4.766,5.162,80.247,79.672,0.059
4.846,5.241,80.229,79.645,0.06
4.926,5.321,80.212,79.617,0.061
5.007,5.401,80.194,79.59,0.062
5.087,5.48,80.176,79.562,0.063
5.167,5.56,80.158,79.535,0.064
5.247,5.639,80.141,79.507,0.065
5.327,5.719,80.123,79.48,0.066
5.407,5.798,80.105,79.453,0.067
5.488,5.878,80.087,79.425,0.068
5.568,5.957,80.069,79.398,0.069
5.648,6.037,80.052,79.37,0.07
5.728,6.116,80.034,79.343,0.071
5.808,6.195,80.016,79.315,0.072
5.888,6.275,79.998,79.288,0.073
5.968,6.354,79.981,79.261,0.074
6.048,6.433,79.963,79.233,0.075
6.128,6.512,79.945,79.206,0.076
6.208,6.591,79.928,79.179,0.077
6.287,6.671,79.91,79.151,0.078
6.367,6.75,79.892,79.124,0.079
6.447,6.829,79.875,79.097,0.08
6.527,6.908,79.857,79.069,0.081
6.607,6.987,79.84,79.042,0.082
6.687,7.066,79.822,79.015,0.083
6.767,7.145,79.804,78.988,0.084
6.846,7.224,79.787,78.96,0.085
6.926,7.303,79.769,78.933,0.086
7.006,7.382,79.751,78.906,0.087
7.086,7.461,79.734,78.879,0.088
7.165,7.54,79.716,78.851,0.089
7.245,7.619,79.699,78.824,0.09
7.325,7.697,79.681,78.797,0.091
7.405,7.776,79.664,78.77,0.092
7.484,7.855,79.646,78.743,0.093
7.564,7.934,79.629,78.716,0.094
7.643,8.012,79.611,78.688,0.095
7.723,8.091,79.593,78.661,0.096
7.803,8.17,79.576,78.634,0.097
7.882,8.248,79.559,78.607,0.098
7.962,8.327,79.541,78.58,0.099
8.041,8.405,79.523,78.553,0.1
8.121,8.484,79.506,78.526,0.101
8.2,8.562,79.488,78.499,0.102
8.28,8.641,79.471,78.472,0.103
8.359,8.719,79.453,78.444,0.104
8.439,8.798,79.436,78.417,0.105
8.518,8.876,79.419,78.39,0.106
8.597,8.955,79.401,78.363,0.107
8.677,9.033,79.384,78.336,0.108
8.756,9.111,79.366,78.309,0.109
8.836,9.19,79.349,78.282,0.11
8.915,9.268,79.331,78.255,0.111
8.994,9.346,79.314,78.228,0.112
9.074,9.424,79.297,78.201,0.113
9.153,9.502,79.279,78.175,0.114
9.232,9.581,79.262,78.148,0.115
9.311,9.659,79.245,78.121,0.116
9.391,9.737,79.227,78.094,0.117
9.47,9.815,79.21,78.067,0.118
9.549,9.893,79.193,78.04,0.119
9.628,9.971,79.175,78.013,0.12
9.707,10.049,79.158,77.986,0.121
9.787,10.127,79.141,77.959,0.122
9.866,10.205,79.123,77.933,0.123
9.945,10.283,79.106,77.906,0.124
10.024,10.361,79.128,77.918,0.125
10.103,10.439,79.348,78.125,0.126
10.183,10.517,79.569,78.332,0.127
10.262,10.595,79.789,78.538,0.128
10.342,10.674,80.008,78.745,0.129
10.422,10.753,80.228,78.952,0.13
10.503,10.832,80.448,79.158,0.131
10.583,10.911,80.668,79.364,0.132
10.664,10.991,80.887,79.571,0.133
10.745,11.07,81.107,79.777,0.134
10.826,11.15,81.326,79.983,0.135
10.908,11.23,81.545,80.189,0.136
10.989,11.311,81.765,80.394,0.137
11.071,11.391,81.984,80.6,0.138
11.153,11.472,82.203,80.806,0.139
11.236,11.553,82.422,81.011,0.14
11.318,11.634,82.641,81.216,0.141
11.401,11.715,82.86,81.422,0.142
11.484,11.797,83.078,81.627,0.143
11.567,11.878,83.297,81.832,0.144
11.65,11.96,83.516,82.037,0.145
11.734,12.043,83.734,82.242,0.146
11.818,12.125,83.953,82.446,0.147
11.902,12.207,84.171,82.651,0.148
11.986,12.29,84.389,82.855,0.149
12.071,12.373,84.607,83.06,0.15
12.155,12.456,84.825,83.264,0.151
12.24,12.54,85.043,83.468,0.152
12.325,12.623,85.261,83.672,0.153
12.411,12.707,85.479,83.876,0.154
12.496,12.791,85.697,84.08,0.155
12.582,12.875,85.914,84.284,0.156
12.668,12.96,86.132,84.487,0.157
12.755,13.044,86.349,84.691,0.158
12.841,13.129,86.566,84.894,0.159
12.928,13.214,86.784,85.097,0.16
13.015,13.299,87.001,85.301,0.161
13.102,13.385,87.218,85.504,0.162
13.189,13.47,87.435,85.706,0.163
13.277,13.556,87.652,85.909,0.164
13.364,13.642,87.869,86.112,0.165
13.452,13.728,88.085,86.315,0.166
13.54,13.815,88.302,86.517,0.167
13.629,13.901,88.519,86.719,0.168
13.717,13.988,88.735,86.922,0.169
13.806,14.075,88.951,87.124,0.17
13.895,14.162,89.167,87.326,0.171
13.985,14.25,89.384,87.528,0.172
14.074,14.337,89.6,87.729,0.173
14.164,14.425,89.816,87.931,0.174
14.254,14.513,90.032,88.133,0.175
14.344,14.601,90.248,88.334,0.176
14.434,14.69,90.463,88.536,0.177
14.525,14.778,90.679,88.737,0.178
14.616,14.867,90.895,88.938,0.179
14.707,14.956,91.11,89.139,0.18
14.798,15.046,91.326,89.34,0.181
14.889,15.135,91.541,89.541,0.182
14.981,15.225,91.756,89.741,0.183
15.073,15.315,91.971,89.942,0.184
15.165,15.405,92.186,90.142,0.185
15.257,15.495,92.401,90.342,0.186
15.35,15.585,92.616,90.543,0.187
15.442,15.676,92.831,90.743,0.188
15.535,15.767,93.045,90.943,0.189
15.629,15.858,93.26,91.143,0.19
15.722,15.949,93.474,91.342,0.191
15.815,16.04,93.688,91.542,0.192
15.909,16.132,93.903,91.741,0.193
16.003,16.224,94.117,91.941,0.194
16.097,16.316,94.331,92.14,0.195
16.192,16.408,94.545,92.339,0.196
16.287,16.501,94.759,92.538,0.197
16.381,16.593,94.973,92.737,0.198
16.477,16.686,95.186,92.936,0.199
16.572,16.779,95.4,93.135,0.2
16.667,16.872,95.613,93.333,0.201
16.763,16.966,95.827,93.532,0.202
16.859,17.059,96.04,93.73,0.203
16.955,17.153,96.253,93.928,0.204
17.051,17.247,96.466,94.126,0.205
17.148,17.342,96.679,94.324,0.206
17.245,17.436,96.892,94.522,0.207
17.342,17.531,97.104,94.72,0.208
17.439,17.625,97.317,94.917,0.209
17.536,17.72,97.53,95.115,0.21
17.634,17.816,97.742,95.312,0.211
17.732,17.911,97.954,95.509,0.212
17.83,18.007,98.166,95.706,0.213
17.928,18.102,98.379,95.903,0.214
18.027,18.198,98.591,96.1,0.215
18.125,18.295,98.803,96.297,0.216
18.224,18.391,99.015,96.494,0.217
18.323,18.488,99.226,96.69,0.218
18.423,18.584,99.438,96.886,0.219
18.522,18.681,99.649,97.083,0.22
18.622,18.779,99.861,97.279,0.221
18.722,18.876,100.072,97.475,0.222
18.822,18.974,100.283,97.671,0.223
18.923,19.071,100.494,97.867,0.224
19.023,19.169,100.705,98.062,0.225
19.124,19.267,100.916,98.258,0.226
19.225,19.366,101.127,98.453,0.227
19.326,19.464,101.338,98.649,0.228
19.428,19.563,101.548,98.844,0.229
19.529,19.662,101.759,99.039,0.23
19.631,19.761,101.969,99.234,0.231
19.733,19.861,102.18,99.429,0.232
19.836,19.96,102.39,99.623,0.233
19.938,20.06,102.6,99.818,0.234
20.041,20.16,102.81,100.012,0.235
20.144,20.26,103.019,100.207,0.236
20.247,20.36,103.229,100.401,0.237
20.35,20.461,103.439,100.595,0.238
20.454,20.561,103.648,100.789,0.239
20.558,20.662,103.858,100.983,0.24
20.661,20.763,104.067,101.176,0.241
20.766,20.865,104.277,101.37,0.242
20.87,20.966,104.486,101.563,0.243
20.975,21.068,104.694,101.757,0.244
21.079,21.17,104.903,101.95,0.245
21.184,21.272,105.112,102.143,0.246
21.29,21.374,105.321,102.336,0.247
21.395,21.476,105.529,102.529,0.248
21.501,21.579,105.738,102.721,0.249
21.607,21.682,105.946,102.914,0.25
21.713,21.785,106.155,103.107,0.251
21.819,21.888,106.363,103.299,0.252
21.925,21.991,106.571,103.491,0.253
22.032,22.095,106.778,103.683,0.254
22.139,22.199,106.986,103.875,0.255
22.246,22.303,107.194,104.067,0.256
22.353,22.407,107.402,104.259,0.257
22.461,22.511,107.609,104.45,0.258
22.568,22.616,107.817,104.642,0.259
22.676,22.72,108.024,104.833,0.26
22.785,22.825,108.231,105.024,0.261
22.893,22.93,108.438,105.215,0.262
23.001,23.036,108.645,105.406,0.263
23.11,23.141,108.852,105.597,0.264
23.219,23.247,109.059,105.788,0.265
23.328,23.353,109.265,105.979,0.266
23.438,23.459,109.472,106.169,0.267
23.547,23.565,109.678,106.359,0.268
23.657,23.672,109.884,106.549,0.269
23.767,23.778,110.09,106.739,0.27
23.877,23.885,110.296,106.929,0.271
23.988,23.992,110.502,107.119,0.272
24.098,24.099,110.708,107.309,0.273
24.209,24.207,110.914,107.498,0.274
24.32,24.314,111.119,107.688,0.275
24.431,24.422,111.325,107.877,0.276
24.543,24.53,111.53,108.066,0.277
24.654,24.638,111.736,108.256,0.278
24.766,24.747,111.941,108.444,0.279
24.878,24.855,112.146,108.633,0.28
24.99,24.964,112.351,108.822,0.281
25.103,25.073,112.555,109.01,0.282
25.216,25.182,112.76,109.199,0.283
25.328,25.291,112.964,109.387,0.284
25.441,25.401,113.169,109.575,0.285
25.555,25.51,113.373,109.763,0.286
25.668,25.62,113.577,109.951,0.287
25.782,25.73,113.782,110.139,0.288
25.896,25.84,113.986,110.327,0.289
26.01,25.951,114.19,110.514,0.29
26.124,26.062,114.393,110.701,0.291
26.239,26.172,114.597,110.889,0.292
26.353,26.283,114.8,111.076,0.293
26.468,26.394,115.004,111.263,0.294
26.583,26.506,115.207,111.45,0.295
26.699,26.617,115.41,111.636,0.296
26.814,26.729,115.613,111.823,0.297
26.93,26.841,115.816,112.009,0.298
27.046,26.953,116.019,112.196,0.299
27.162,27.065,116.222,112.382,0.3
27.278,27.178,116.424,112.568,0.301
27.395,27.291,116.627,112.754,0.302
27.512,27.403,116.829,112.94,0.303
27.628,27.516,117.031,113.125,0.304
27.746,27.63,117.233,113.311,0.305
27.863,27.743,117.435,113.496,0.306
27.98,27.857,117.637,113.682,0.307
